"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"158","Marqise Lee","JAC","WR59","8","108","233","160.4","25.8","196.0","+38.0"
"159","Antonio Gates","LAC","TE20","9","108","206","159.4","21.8","184.0","+25.0"
"160","Kenny Stills","MIA","WR60","11","76","251","164.3","30.5","182.0","+22.0"
"161","Minnesota Vikings","","DST5","9","125","215","161.6","18.2","142.0","-19.0"
"162","Cooper Kupp","LAR","WR61","8","76","272","165.4","42.4","151.0","-11.0"
"163","Arizona Cardinals","","DST6","8","128","241","164.1","21.3","148.0","-15.0"
"164","Kenny Golladay","DET","WR62","7","87","274","168.3","45.0","163.0","-1.0"
"165","Robert Woods","LAR","WR63","8","83","277","173.1","43.3","228.0","+63.0"
"166","Breshad Perriman","BAL","WR64","10","112","267","171.4","34.0","194.0","+28.0"
"167","DeAndre Washington","OAK","RB57","10","95","266","175.6","40.6","190.0","+23.0"
"168","Joe Flacco","BAL","QB21","10","119","225","169.4","20.7","210.0","+42.0"
"169","New England Patriots","","DST7","9","128","219","169.8","19.3","145.0","-24.0"
"170","Stephen Gostkowski","NE","K1","9","116","248","170.9","16.7","133.0","-37.0"
"171","Justin Tucker","BAL","K2","10","111","246","172.3","20.5","135.0","-36.0"
"172","Charles Sims","TB","RB58","11","94","261","177.4","36.0","255.0","+83.0"
"173","O.J. Howard","TB","TE21","11","102","249","175.0","32.1","129.0","-44.0"
"174","Blake Bortles","JAC","QB22","8","121","237","174.3","31.8","211.0","+37.0"
"175","Jared Cook","OAK","TE22","10","84","277","180.2","36.9","192.0","+17.0"
"176","Marlon Mack","IND","RB59","11","95","321","180.8","40.9","180.0","+4.0"
"177","Dion Lewis","NE","RB60","9","90","276","181.6","38.2","205.0","+28.0"
"178","Sam Bradford","MIN","QB23","9","125","237","172.0","22.9","185.0","+7.0"
"179","Evan Engram","NYG","TE23","8","117","265","177.8","29.4","158.0","-21.0"
"180","Charles Clay","BUF","TE24","6","112","255","182.1","34.0","249.0","+69.0"
"181","Taylor Gabriel","ATL","WR65","5","113","260","183.4","33.8","172.0","-9.0"
"182","Jay Cutler","MIA","QB24","11","131","261","174.1","26.9","175.0","-7.0"
"183","J.J. Nelson","ARI","WR66","8","100","260","186.4","35.9","206.0","+23.0"
"184","Mohamed Sanu","ATL","WR67","5","67","274","182.8","34.2","176.0","-8.0"
"185","John Ross","CIN","WR68","6","86","275","187.7","39.3","160.0","-25.0"
"186","Matt Bryant","ATL","K3","5","115","245","179.4","22.2","154.0","-32.0"
"187","David Njoku","CLE","TE25","9","109","274","183.6","32.8","208.0","+21.0"
"188","Devin Funchess","CAR","WR69","11","104","265","188.0","38.4","222.0","+34.0"
"189","Dan Bailey","DAL","K4","6","135","247","180.4","17.7","159.0","-30.0"
"190","Carolina Panthers","","DST8","11","134","229","181.1","20.0","170.0","-20.0"
"191","D'Onta Foreman","HOU","RB61","7","99","270","189.7","39.3","186.0","-5.0"
"192","Jonathan Williams","BUF","RB62","6","109","280","189.6","40.5","166.0","-26.0"
"193","New York Giants","","DST9","8","137","255","179.7","21.2","168.0","-25.0"
"194","Joe Williams","SF","RB63","11","106","284","190.8","44.8","171.0","-23.0"
"195","Allen Hurns","JAC","WR70","8","104","258","186.8","34.1","201.0","+6.0"
"196","Alex Smith","KC","QB25","10","130","249","184.2","24.7","227.0","+31.0"
"197","Kendall Wright","CHI","WR71","9","91","281","193.2","46.8","343.0","+146.0"
"198","Nelson Agholor","PHI","WR72","10","105","262","187.5","34.6","246.0","+48.0"
"199","Wendell Smallwood","PHI","RB64","10","117","283","201.9","48.6","198.0","-1.0"
"200","Mason Crosby","GB","K5","8","139","252","186.0","18.7","174.0","-26.0"
"201","Jalen Richard","OAK","RB65","10","113","268","193.2","34.5","203.0","+2.0"
"202","T.J. Yeldon","JAC","RB66","8","128","278","193.7","39.0","212.0","+10.0"
"203","Torrey Smith","PHI","WR73","10","111","275","206.2","42.7","225.0","+22.0"
"204","Chris Conley","KC","WR74","10","113","278","195.9","35.5","239.0","+35.0"
"205","Tavon Austin","LAR","WR75","8","102","281","200.2","39.5","224.0","+19.0"
"206","Zach Miller","CHI","TE26","9","99","267","202.1","40.3","298.0","+92.0"
"207","Robert Turbin","IND","RB67","11","83","287","199.2","40.8","271.0","+64.0"
"208","Malcolm Mitchell","NE","WR76","9","102","267","197.5","34.1","214.0","+6.0"
"209","Austin Seferian-Jenkins","NYJ","TE27","11","115","264","199.6","38.5","247.0","+38.0"
"210","Adam Vinatieri","IND","K6","11","136","251","193.0","21.8","167.0","-43.0"
"211","Jacksonville Jaguars","","DST10","8","140","253","193.4","24.2","181.0","-30.0"
"212","Mike Williams","LAC","WR77","9","98","279","203.7","46.3","248.0","+36.0"
"213","Los Angeles Rams","","DST11","8","141","241","192.5","21.5","183.0","-30.0"
"214","Danny Amendola","NE","WR78","9","96","262","188.2","38.9","197.0","-17.0"
"215","Jesse James","PIT","TE28","9","137","254","199.2","29.9","218.0","+3.0"
"216","Charcandrick West","KC","RB68","10","121","287","199.6","44.3","291.0","+75.0"
"217","Jerick McKinnon","MIN","RB69","9","99","281","208.5","40.6","278.0","+61.0"
"218","Tim Hightower","SF","RB70","11","127","283","214.6","43.0","275.0","+57.0"
"219","Chris Carson","SEA","RB71","6","112","276","195.7","53.3","261.0","+42.0"
"220","Will Fuller","HOU","WR79","7","110","265","205.2","38.3","251.0","+31.0"
"221","Paul Richardson","SEA","WR80","6","126","279","214.9","39.9","274.0","+53.0"
"222","Brian Hoyer","SF","QB26","11","135","256","200.1","24.6","250.0","+28.0"
"223","Benjamin Watson","BAL","TE29","10","129","269","212.0","40.3","270.0","+47.0"
"224","Dwayne Allen","NE","TE30","9","141","292","215.4","37.7","252.0","+28.0"
"225","Matt Prater","DET","K7","7","147","267","207.0","26.6","178.0","-47.0"
"226","Devontae Booker","DEN","RB72","5","103","282","218.3","38.8","233.0","+7.0"
"227","Cincinnati Bengals","","DST12","6","146","258","208.0","27.7","236.0","+9.0"
"228","Tyler Boyd","CIN","WR81","6","139","280","212.2","32.1","284.0","+56.0"
"229","Philadelphia Eagles","","DST13","10","144","260","206.9","25.9","213.0","-16.0"
"230","Baltimore Ravens","","DST14","10","138","257","200.6","21.3","202.0","-28.0"
"231","De'Angelo Henderson","DEN","RB73","5","133","398","207.8","61.0","220.0","-11.0"
"232","Pittsburgh Steelers","","DST15","9","122","266","202.4","23.7","177.0","-55.0"
"233","Cairo Santos","KC","K8","10","146","267","208.8","24.2","191.0","-42.0"
"234","Dustin Hopkins","WAS","K9","5","152","267","220.3","32.0","217.0","-17.0"
"235","Steven Hauschka","BUF","K10","6","143","264","209.2","26.8","209.0","-26.0"
"236","James Conner","PIT","RB74","9","126","284","229.9","40.9","204.0","-32.0"
"237","Braxton Miller","HOU","WR82","7","112","280","215.8","41.5","279.0","+42.0"
"238","Jeremy Kerley","SF","WR83","11","60","279","216.3","41.9","321.0","+83.0"
"239","Jaron Brown","ARI","WR84","8","117","282","210.7","43.5","267.0","+28.0"
"240","Trevor Siemian","DEN","QB27","5","144","253","211.6","25.8","280.0","+40.0"
"241","Deshaun Watson","HOU","QB28","7","147","277","216.5","31.7","179.0","-62.0"
"242","Eli Rogers","PIT","WR85","9","128","280","226.8","36.9","335.0","+93.0"
"243","Kyle Juszczyk","SF","RB75","11","113","289","219.3","49.5","257.0","+14.0"
"244","ArDarius Stewart","NYJ","WR86","11","163","281","216.1","31.6","207.0","-37.0"
"245","Brandon LaFell","CIN","WR87","6","113","275","218.0","34.3","199.0","-46.0"
"246","Curtis Samuel","CAR","WR88","11","134","268","224.9","32.1","229.0","-17.0"
