"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"152","Chris Thompson","WAS","RB51","5","100","263","153.6","33.6","196.0","+44.0"
"153","Jamaal Charles","DEN","RB52","5","80","247","153.6","33.6","135.0","-18.0"
"154","Tyler Lockett","SEA","WR59","6","104","221","154.8","25.6","160.0","+6.0"
"155","Jeremy Hill","CIN","RB53","6","101","244","157.6","31.2","151.0","-4.0"
"156","Jamaal Williams","GB","RB54","8","82","235","158.0","35.7","142.0","-14.0"
"157","Alvin Kamara","NO","RB55","5","86","237","158.4","29.8","173.0","+16.0"
"158","Shane Vereen","NYG","RB56","8","107","286","165.2","39.1","175.0","+17.0"
"159","Breshad Perriman","BAL","WR60","10","118","236","163.7","28.5","183.0","+24.0"
"160","Robert Woods","LAR","WR61","8","83","277","166.6","40.9","207.0","+47.0"
"161","Antonio Gates","LAC","TE20","9","108","238","161.1","24.3","177.0","+16.0"
"162","Minnesota Vikings","","DST5","9","126","219","161.1","18.1","148.0","-14.0"
"163","Kenny Stills","MIA","WR62","11","83","248","166.8","33.0","180.0","+17.0"
"164","Marqise Lee","JAC","WR63","8","108","228","162.8","27.0","193.0","+29.0"
"165","Arizona Cardinals","","DST6","8","129","241","164.4","21.8","152.0","-13.0"
"166","Blake Bortles","JAC","QB21","8","109","306","163.8","32.3","201.0","+35.0"
"167","DeAndre Washington","OAK","RB57","10","96","266","172.7","37.7","188.0","+21.0"
"168","O.J. Howard","TB","TE21","11","89","268","172.1","36.6","130.0","-38.0"
"169","Anquan Boldin","BUF","WR64","6","22","261","167.5","43.6","186.0","+17.0"
"170","New England Patriots","","DST7","9","130","223","170.3","17.9","150.0","-20.0"
"171","John Ross","CIN","WR65","6","69","264","175.2","38.6","156.0","-15.0"
"172","Kenny Golladay","DET","WR66","7","104","280","175.9","45.8","163.0","-9.0"
"173","Joe Flacco","BAL","QB22","10","129","308","173.6","24.8","199.0","+26.0"
"174","Stephen Gostkowski","NE","K1","9","134","252","172.1","16.0","136.0","-38.0"
"175","Justin Tucker","BAL","K2","10","133","250","173.9","20.0","137.0","-38.0"
"176","Rex Burkhead","NE","RB58","9","78","261","180.5","42.9","171.0","-5.0"
"177","Jared Cook","OAK","TE22","10","101","281","180.4","34.2","191.0","+14.0"
"178","Dion Lewis","NE","RB59","9","101","253","181.9","34.6","192.0","+14.0"
"179","Taylor Gabriel","ATL","WR67","5","109","258","181.7","30.1","158.0","-21.0"
"180","J.J. Nelson","ARI","WR68","8","102","276","188.1","39.1","198.0","+18.0"
"181","Allen Hurns","JAC","WR69","8","98","265","182.5","32.9","200.0","+19.0"
"182","Sam Bradford","MIN","QB23","9","115","310","178.6","30.7","208.0","+26.0"
"183","Joe Williams","SF","RB60","11","110","259","181.8","38.7","166.0","-17.0"
"184","Marlon Mack","IND","RB61","11","101","264","178.7","35.5","202.0","+18.0"
"185","David Njoku","CLE","TE23","9","109","270","181.6","30.9","197.0","+12.0"
"186","Evan Engram","NYG","TE24","8","122","248","181.5","30.2","162.0","-24.0"
